osm_id,path,level,name
20664732,TR.06.005.0030,NEIGHBORHOOD,Haydarlar Mahallesi
20664733,TR.06.005.0031,NEIGHBORHOOD,Hırkatepe Mahallesi
20386016,TR.06.005.0032,NEIGHBORHOOD,İncepelit Mahallesi
11484849,TR.06.005.0033,NEIGHBORHOOD,İstiklal Mahallesi
20669029,TR.06.005.0034,NEIGHBORHOOD,Kabaca Mahallesi
20669031,TR.06.005.0035,NEIGHBORHOOD,Kaplan Mahallesi
20669032,TR.06.005.0036,NEIGHBORHOOD,Kapullu Mahallesi
20669033,TR.06.005.0037,NEIGHBORHOOD,Karacaören Mahallesi
20669034,TR.06.005.0038,NEIGHBORHOOD,Karaören Mahallesi
20669035,TR.06.005.0039,NEIGHBORHOOD,Karaşar Mahallesi
20669036,TR.06.005.0040,NEIGHBORHOOD,Kargı Mahallesi
17566257,TR.06.005.0041,NEIGHBORHOOD,Kayabükü Mahallesi
20669037,TR.06.005.0042,NEIGHBORHOOD,Kebanlar Mahallesi
20669038,TR.06.005.0043,NEIGHBORHOOD,Kırbaşı Mahallesi
20671254,TR.06.005.0044,NEIGHBORHOOD,Kırşeyhler Mahallesi
20671255,TR.06.005.0045,NEIGHBORHOOD,Kızılcasöğüt Mahallesi
20671258,TR.06.005.0046,NEIGHBORHOOD,Köseler Mahallesi
20671259,TR.06.005.0047,NEIGHBORHOOD,Köst Mahallesi
20671256,TR.06.005.0048,NEIGHBORHOOD,Kozağaç Mahallesi
20671257,TR.06.005.0049,NEIGHBORHOOD,Kozalan Mahallesi
20671260,TR.06.005.0050,NEIGHBORHOOD,Kurtkovan Mahallesi
11484851,TR.06.005.0051,NEIGHBORHOOD,Kurtuluş Mahallesi
20671261,TR.06.005.0052,NEIGHBORHOOD,Kuyucak Mahallesi
20671262,TR.06.005.0053,NEIGHBORHOOD,Kuyumcutekke Mahallesi
20671263,TR.06.005.0054,NEIGHBORHOOD,Macun Mahallesi
20671264,TR.06.005.0055,NEIGHBORHOOD,Mahmutlar Mahallesi
20671265,TR.06.005.0056,NEIGHBORHOOD,Mençeler Mahallesi
20671266,TR.06.005.0057,NEIGHBORHOOD,Mikail Mahallesi
20671267,TR.06.005.0058,NEIGHBORHOOD,Nuhhoca Mahallesi
20671268,TR.06.005.0059,NEIGHBORHOOD,Oymaağaç Mahallesi
11484848,TR.06.005.0060,NEIGHBORHOOD,Rüstempaşa Mahallesi
20671269,TR.06.005.0061,NEIGHBORHOOD,Saray Mahallesi
20671270,TR.06.005.0062,NEIGHBORHOOD,Sarıağıl Mahallesi
20388786,TR.06.005.0063,NEIGHBORHOOD,Sekli Mahallesi
20671271,TR.06.005.0064,NEIGHBORHOOD,Sopçaalan Mahallesi
20671272,TR.06.005.0065,NEIGHBORHOOD,Tacettin Mahallesi
20671273,TR.06.005.0066,NEIGHBORHOOD,Tahir Mahallesi
20387162,TR.06.005.0067,NEIGHBORHOOD,Üreğil Mahallesi
20386090,TR.06.005.0068,NEIGHBORHOOD,Uruş Mahallesi
20671274,TR.06.005.0069,NEIGHBORHOOD,Uşakgöl Mahallesi
20671275,TR.06.005.0070,NEIGHBORHOOD,Yalnızçam Mahallesi
11485068,TR.06.005.0071,NEIGHBORHOOD,Yeşilağaç Mahallesi
20671277,TR.06.005.0072,NEIGHBORHOOD,Yiğerler Mahallesi
20671276,TR.06.005.0073,NEIGHBORHOOD,Yıldız Mahallesi
20386015,TR.06.005.0074,NEIGHBORHOOD,Yoğunpelit Mahallesi
20671278,TR.06.005.0075,NEIGHBORHOOD,Yukarıgüney Mahallesi
17566259,TR.06.005.0076,NEIGHBORHOOD,Yukarıulucak Mahallesi
11484850,TR.06.005.0077,NEIGHBORHOOD,Zafer Mahallesi
20692701,TR.06.006.0001,NEIGHBORHOOD,Ahatlar Mahallesi
20692702,TR.06.006.0002,NEIGHBORHOOD,Akkaya Mahallesi
20692703,TR.06.006.0003,NEIGHBORHOOD,Alakoç Mahallesi
20692704,TR.06.006.0004,NEIGHBORHOOD,Atça Mahallesi
17584339,TR.06.006.0005,NEIGHBORHOOD,Avdan Mahallesi
20692705,TR.06.006.0006,NEIGHBORHOOD,Avşarlar Mahallesi
20692706,TR.06.006.0007,NEIGHBORHOOD,Bardakçılar Mahallesi
20692707,TR.06.006.0008,NEIGHBORHOOD,Bayındır Mahallesi
20692708,TR.06.006.0009,NEIGHBORHOOD,Beşbeyler Mahallesi
20692709,TR.06.006.0010,NEIGHBORHOOD,Beyler Mahallesi
-2537342,TR.06.006.0011,NEIGHBORHOOD,Bökeler Mahallesi
20692710,TR.06.006.0012,NEIGHBORHOOD,Bökler Mahallesi
20692711,TR.06.006.0013,NEIGHBORHOOD,Buğralar Mahallesi
20692712,TR.06.006.0014,NEIGHBORHOOD,Çamköy Mahallesi
20692713,TR.06.006.0015,NEIGHBORHOOD,Çukurören Mahallesi
20692714,TR.06.006.0016,NEIGHBORHOOD,Dağkuzuören Mahallesi
20692715,TR.06.006.0017,NEIGHBORHOOD,Doğancı Mahallesi
20692716,TR.06.006.0018,NEIGHBORHOOD,Doğanlar Mahallesi
20706989,TR.06.006.0019,NEIGHBORHOOD,Donmuş Mahallesi
20706976,TR.06.006.0020,NEIGHBORHOOD,Dörtkonak Mahallesi
20706977,TR.06.006.0021,NEIGHBORHOOD,Eldelek Mahallesi
20706978,TR.06.006.0022,NEIGHBORHOOD,Elmalı Mahallesi
20706979,TR.06.006.0023,NEIGHBORHOOD,Elören Mahallesi
20706980,TR.06.006.0024,NEIGHBORHOOD,Elvanlar Mahallesi
20706981,TR.06.006.0025,NEIGHBORHOOD,Gümele Mahallesi
20706982,TR.06.006.0026,NEIGHBORHOOD,Güney Mahallesi
20706983,TR.06.006.0027,NEIGHBORHOOD,İnceöz Mahallesi
20706984,TR.06.006.0028,NEIGHBORHOOD,Kayabaşı Mahallesi
20706985,TR.06.006.0029,NEIGHBORHOOD,Körler Mahallesi
20706986,TR.06.006.0030,NEIGHBORHOOD,Kuşçular Mahallesi
20706987,TR.06.006.0031,NEIGHBORHOOD,Kuyubaşı Mahallesi
20706988,TR.06.006.0032,NEIGHBORHOOD,Meşeler Mahallesi
20708038,TR.06.006.0033,NEIGHBORHOOD,Murzupağacın Mahallesi
20708039,TR.06.006.0034,NEIGHBORHOOD,Müsellim Mahallesi
20708042,TR.06.006.0035,NEIGHBORHOOD,Ömerağa Mahallesi
20708043,TR.06.006.0036,NEIGHBORHOOD,Örenköy Mahallesi
20708040,TR.06.006.0037,NEIGHBORHOOD,Orta Mahalle
20708041,TR.06.006.0038,NEIGHBORHOOD,Osmansin Mahallesi
20708044,TR.06.006.0039,NEIGHBORHOOD,Özmüş Mahallesi
20708045,TR.06.006.0040,NEIGHBORHOOD,Peçenek Mahallesi
20708046,TR.06.006.0041,NEIGHBORHOOD,Pelitçik Mahallesi
20708047,TR.06.006.0042,NEIGHBORHOOD,Sarıkavak Mahallesi
20708048,TR.06.006.0043,NEIGHBORHOOD,Tatlak Mahallesi
20708049,TR.06.006.0044,NEIGHBORHOOD,Yahşihan Mahallesi
20708050,TR.06.006.0045,NEIGHBORHOOD,Yahyalar Mahallesi
20708051,TR.06.006.0046,NEIGHBORHOOD,Yayalar Mahallesi
20708052,TR.06.006.0047,NEIGHBORHOOD,Yediören Mahallesi
20708053,TR.06.006.0048,NEIGHBORHOOD,Yılanlı Mahallesi
20708054,TR.06.006.0049,NEIGHBORHOOD,Yoncatepe Mahallesi
6771492,TR.06.007.0001,NEIGHBORHOOD,100. Yıl Mahallesi
6770963,TR.06.007.0002,NEIGHBORHOOD,50. Yıl Mahallesi
6792629,TR.06.007.0003,NEIGHBORHOOD,Ahlatlıbel Mahallesi
17565395,TR.06.007.0004,NEIGHBORHOOD,Akarlar Mahallesi
6783218,TR.06.007.0005,NEIGHBORHOOD,Akpınar Mahallesi
6789284,TR.06.007.0006,NEIGHBORHOOD,Alacaatlı Mahallesi
6779557,TR.06.007.0007,NEIGHBORHOOD,Anıttepe Mahallesi
6771185,TR.06.007.0008,NEIGHBORHOOD,Arka Topraklık Mahallsi
13764530,TR.06.007.0009,NEIGHBORHOOD,Aşağı İmrahor Mahallesi
6786604,TR.06.007.0010,NEIGHBORHOOD,Aşağı Öveçler Mahallesi
6771385,TR.06.007.0011,NEIGHBORHOOD,Aşıkpaşa Mahallesi
6786489,TR.06.007.0012,NEIGHBORHOOD,Ata Mahallesi
6786491,TR.06.007.0013,NEIGHBORHOOD,Aydınlar Mahallesi
6776895,TR.06.007.0014,NEIGHBORHOOD,Ayrancı Mahallesi
6776427,TR.06.007.0015,NEIGHBORHOOD,Aziziye Mahallesi
6774999,TR.06.007.0016,NEIGHBORHOOD,Bademlidere Mahallesi
6774991,TR.06.007.0017,NEIGHBORHOOD,Bağcılar Mahallesi
6779580,TR.06.007.0018,NEIGHBORHOOD,Bahçelievler Mahallesi
6779679,TR.06.007.0019,NEIGHBORHOOD,Balgat Mahallesi
6774812,TR.06.007.0020,NEIGHBORHOOD,Barbaros Mahallesi
6771397,TR.06.007.0021,NEIGHBORHOOD,Bayraktar Mahallesi
6789376,TR.06.007.0022,NEIGHBORHOOD,Beytepe Mahallesi
6774849,TR.06.007.0023,NEIGHBORHOOD,Birlik Mahallesi
6776399,TR.06.007.0024,NEIGHBORHOOD,Boztepe Mahallesi
6771418,TR.06.007.0025,NEIGHBORHOOD,Büyükesat Mahallesi
6770656,TR.06.007.0026,NEIGHBORHOOD,Çamlıtepe Mahallesi
6776826,TR.06.007.0027,NEIGHBORHOOD,Çankaya Mahallesi
17565393,TR.06.007.0028,NEIGHBORHOOD,Çavuşlu Mahallesi
6789110,TR.06.007.0029,NEIGHBORHOOD,Çayyolu Mahallesi
6753459,TR.06.007.0030,NEIGHBORHOOD,Cebeci Mahallesi
6783132,TR.06.007.0031,NEIGHBORHOOD,Cevizlidere Mahallesi
6789063,TR.06.007.0032,NEIGHBORHOOD,Çiğdem Mahallesi
6787293,TR.06.007.0033,NEIGHBORHOOD,Çukurambar Mahallesi
6777209,TR.06.007.0034,NEIGHBORHOOD,Cumhuriyet Mahallesi
6779698,TR.06.007.0035,NEIGHBORHOOD,Devlet Mahallesi
6770962,TR.06.007.0036,NEIGHBORHOOD,Dilekler Mahallesi
6789345,TR.06.007.0037,NEIGHBORHOOD,Dodurga Mahallesi
